"CODE","GS_2017","PPP_2018"
"AGO",2.79150027781725,3289.64666408633
"ALB",NA,5284.38018438156
"AND",10.3205524384975,41793.0552583729
"ARE",3.33428233861923,43839.3563491413
"ARG",9.12431478500366,11683.9496216363
"ARM",10.3627048432827,4220.49027671249
"AUS",9.20594781637192,57395.9194663167
"AUT",10.3966169059277,51525.0464342791
"AZE",6.65182918310165,4739.84171028393
"BDI",7.51757025718689,271.752044376648
"BEL",10.338669270277,47491.3232594693
"BEN",3.71858216822147,1240.82946441954
"BFA",6.91505968570709,820.160793810547
"BGD",2.27424874901772,1698.35039428122
"BGR",8.09560343623161,9423.5586115666
"BHR",4.74810488522053,23991.05667694
"BHS",5.75888901948929,32217.871590084
"BIH",8.93166735768318,6072.18099160639
"BLR",5.92578575015068,6330.0752464187
"BLZ",5.64282275736332,4884.7341615523
"BOL",6.44316077232361,3548.59015254032
"BRA",9.46747660636902,9001.23424863499
"BRB",6.77912682294846,17745.1934649963
"BRN",2.37320773303509,31628.3287914349
"BTN",3.18696238100529,3243.23112593497
"BWA",6.13456815481186,8279.60136473398
"CAF",5.82177564501762,475.953609871945
"CAN",10.5727694928646,46313.1713712961
"CHE",12.3463220894337,82818.1081617471
"CHL",8.9835099875927,15924.7942393064
"CHN",5.15119321644306,9976.67682180773
"CIV",4.45303432643414,2302.61295091153
"CMR",4.67066690325737,1534.49127445052
"COD",3.97872291505337,557.064418324276
"COG",2.93027926236391,2223.85447919587
"COL",7.22628086805344,6718.58532391314
"COM",7.3843739926815,1415.95531263535
"CPV",5.16548864543438,3617.32748829173
"CRI",7.32879638671875,12112.1344206452
"CUB",11.7113269865513,8821.81889125004
"CYP",6.68456926941872,28689.7067225792
"CZE",7.23133906722069,23046.9491261402
"DEU",11.2468346953392,47639.0034407122
"DJI",3.31651791930199,3141.88921873893
"DMA",5.87688907980919,7691.34509727878
"DNK",10.1082794368267,61390.6930097009
"DOM",6.13639503717422,8050.63044027449
"ECU",8.25742930173874,6295.93539868079
"EGY",5.28763681650162,2549.13225178609
"ERI",2.87002343684435,NA
"ESP",8.87312963604927,30337.6791331632
"EST",6.42935782670975,23258.4675814303
"ETH",3.50255742669106,771.523813864476
"FIN",9.20693874359131,50021.2910567702
"FJI",3.50074470043182,6266.96795881419
"FRA",11.3128922879696,41631.0907389044
"GAB",2.78074592351913,7956.62781558686
"GBR",9.63169410824776,43043.2278164551
"GEO",7.60165899991989,4722.78778321766
"GHA",3.26237045228481,2202.31216442504
"GIN",4.12308685481548,983.309492239346
"GMB",3.2820712774992,712.512371079256
"GNB",7.23586902022362,777.969921786711
"GNQ",3.10709420591593,10144.1958108456
"GRC",8.04139003157616,20324.3050137875
"GRD",4.7571174800396,10485.9071571796
"GTM",5.81384375691414,4472.89236269013
"GUY",4.94550988078117,4979.00218839886
"HND",7.85842537879944,2505.7767518956
"HRV",6.78913369774818,14920.1913831924
"HTI",8.03550109267235,868.342024762787
"HUN",6.87998980283737,16150.7727613725
"IDN",2.98905447125435,3893.84642475571
"IND",3.53495962917805,2005.86300452403
"IRL",7.18438327312469,78621.2279552716
"IRN",8.65966379642487,NA
"IRQ",4.16663028299809,5834.16621076139
"ISL",8.32629129290581,72968.7042306678
"ISR",7.40746408700943,41719.7254417057
"ITA",8.84025916457176,34520.085162403
"JAM",5.98841682076454,5354.2368587703
"JOR",8.11925083398819,4241.78878213854
"JPN",10.9359331429005,39159.4235633952
"KAZ",3.12536172568798,9812.60140498928
"KEN",4.80254329741001,1707.98680529003
"KGZ",6.1858631670475,1308.14016549619
"KHM",5.91884180903435,1512.12670972847
"KNA",5.0368070602417,19275.2772604415
"KOR",7.60386362671852,33340.265151682
"KWT",5.2913848310709,33994.3819171507
"LAO",2.52808686345816,2542.4865281792
"LBN",8.19554403424263,8024.80327081387
"LBR",8.15533772110939,677.322178545364
"LBY",NA,7877.12225061884
"LCA",4.54588681459427,11357.8890096382
"LIE",NA,NA
"LKA",3.81142050027847,4080.56712469552
"LSO",8.76315832138062,1221.88376312516
"LTU",6.45756423473358,19080.6173717553
"LUX",5.4810743778944,116654.26106674
"LVA",5.95566183328629,17805.2803143817
"MAR",5.24520017206669,3222.20063433213
"MCO",1.77270229905844,185829.017960407
"MDA",7.0129506289959,4233.99955588135
"MDG",5.50203807651997,527.501326141803
"MDV",9.02997627854347,10330.615614094
"MEX",5.51654137670994,9673.44367360619
"MKD",6.06211498379707,6062.94260420864
"MLI",3.79398502409458,900.110164506815
"MLT",9.34099927544594,30133.4661748731
"MMR",4.65907230973244,1418.17762347196
"MNE",NA,8850.09273291116
"MNG",4.00230102241039,4134.98719823511
"MOZ",4.94119822978973,498.957220208652
"MRT",4.40315157175064,1600.87646860561
"MUS",5.71872070431709,11208.2273695738
"MWI",9.64823141694069,381.258987601084
"MYS",3.85939814150333,11373.2330025676
"NAM",8.55095684528351,5495.42883582824
"NER",7.73996263742447,571.526992228733
"NGA",3.75553853809834,2032.72970882575
"NIC",8.64546522498131,2020.54702818624
"NLD",10.1008348166943,53048.0962104394
"NOR",10.4463420808315,81734.4655736102
"NPL",5.55329509079456,1038.65164702443
"NZL",9.1700553894043,42949.9305849512
"OMN",3.849071636796,16414.8880173692
"PAK",2.89863366633654,1482.30566684338
"PAN",7.31949135661125,15592.573678922
"PER",4.99515049159527,6941.23584763012
"PHL",4.44640778005123,3252.09232412664
"PNG",2.46927607804537,2720.3852453824
"POL",6.5419539809227,15460.6442805468
"PRT",8.96957442164421,23461.5718628115
"PRY",6.65456876158714,5805.67561638869
"PSE",NA,3198.86664447405
"QAT",2.60742865502834,68793.7844372614
"ROU",5.15788830816746,12408.5964891293
"RUS",5.34457787871361,11370.8134559314
"RWA",6.57159835100174,782.618140904879
"SAU",5.23025318980217,23338.9634581127
"SDN",6.34180754423141,623.867252394076
"SEN",4.13406379520893,1465.59100640191
"SGP",4.44038286805153,66188.7793961798
"SLE",13.4209275245667,533.991184258936
"SLV",7.22756013274193,4067.65944881154
"SMR",7.36408308148384,48481.0133042107
"SOM",NA,NA
"SRB",8.43395814299583,7246.19198607054
"SSD",9.76099446415901,NA
"STP",6.22999146580696,2001.1369778051
"SUR",6.2297698110342,6003.723065571
"SVK",6.74253478646278,19428.1162135733
"SVN",8.18701758980751,26054.5421049784
"SWE",11.0187463462353,54589.0603860606
"SWZ",6.93037807941437,4145.97411002514
"SYC",5.0067350268364,16390.824875738
"SYR",NA,NA
"TCD",4.48730140924454,726.149881109447
"TGO",6.19951225817204,678.95563806112
"THA",3.74601632356644,7295.47561612095
"TJK",7.22881481051445,826.621530538704
"TLS",3.88229340314865,1237.10268208254
"TTO",6.97873532772064,17129.9130902577
"TUN",7.23245739936829,3438.78908914627
"TUR",4.21630293130875,9370.1763549731
"TZA",3.6454513669014,1060.99461489421
"UGA",6.18775598704815,767.097759575903
"UKR",6.99532032012939,3096.81740221352
"URY",9.29621160030365,17277.9701101852
"USA",17.0612692832947,62840.0202387954
"UZB",6.41438513994217,1529.08286351335
"VCT",4.48712520301342,7361.4009618002
"VEN",1.18121011182666,NA
"VNM",5.53212836384773,2566.59694958511
"XKX",NA,4419.91432698449
"YEM",NA,968.159047582999
"ZAF",8.11311826109886,6374.02819575944
"ZMB",4.47034128010273,1556.33448154128
"ZWE",6.63591623306274,1683.74057709465
